latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.15351,-74.769,319.16,0.4,0.37,2025-01-07,0643,N20,VIIRS,n,2,261.48,1.78,N,2
38.51693,-77.82096,330.42,0.49,0.4,2025-01-07,0644,N20,VIIRS,n,2,269.18,5.49,N,0
38.22848,-77.02757,297.59,0.45,0.39,2025-01-07,0644,N20,VIIRS,n,2,267.49,0.99,N,0
37.87515,-78.60002,310.94,0.52,0.42,2025-01-07,0644,N20,VIIRS,n,2,260.13,1.6,N,0
37.01337,-79.59888,305.29,0.57,0.43,2025-01-07,0644,N20,VIIRS,n,2,268.61,1.34,N,0
36.76934,-80.22842,301.95,0.4,0.45,2025-01-07,0644,N20,VIIRS,n,2,267.15,1.05,N,0
35.65008,-81.38375,295.4,0.45,0.47,2025-01-07,0645,N20,VIIRS,n,2,269.18,0.91,N,0
35.64823,-81.38622,296.14,0.45,0.47,2025-01-07,0645,N20,VIIRS,n,2,269.27,0.83,N,0
35.12447,-79.48529,297.88,0.53,0.42,2025-01-07,0645,N20,VIIRS,n,2,270.8,0.56,N,0
34.98566,-78.46223,308.63,0.48,0.4,2025-01-07,0645,N20,VIIRS,n,2,272.1,0.73,N,0
34.76139,-82.49568,297.12,0.51,0.49,2025-01-07,0645,N20,VIIRS,n,2,269.86,0.83,N,0
33.01633,-79.88798,326.48,0.53,0.42,2025-01-07,0645,N20,VIIRS,n,2,277.69,4.73,N,2
33.01397,-79.88356,322.99,0.53,0.42,2025-01-07,0645,N20,VIIRS,n,2,277.06,2.66,N,2
33.01463,-79.88923,298.41,0.53,0.42,2025-01-07,0645,N20,VIIRS,n,2,275.12,1.81,N,2
33.00562,-79.87919,303.87,0.53,0.42,2025-01-07,0645,N20,VIIRS,n,2,277.44,1.98,N,2
30.34591,-88.48953,295.71,0.52,0.67,2025-01-07,0646,N20,VIIRS,n,2,278.61,2.11,N,0
30.34668,-88.49003,295.15,0.52,0.66,2025-01-07,0646,N20,VIIRS,n,2,277.36,1.04,N,0
30.00438,-90.41122,306.7,0.67,0.73,2025-01-07,0646,N20,VIIRS,n,2,274.24,1.25,N,0
30.00405,-90.40417,297.64,0.67,0.73,2025-01-07,0646,N20,VIIRS,n,2,277.16,1.25,N,2
29.77222,-90.63824,297.89,0.69,0.74,2025-01-07,0646,N20,VIIRS,n,2,271.18,1.62,N,0
29.76532,-90.63873,298.84,0.69,0.74,2025-01-07,0646,N20,VIIRS,n,2,271.89,1.62,N,0
29.76475,-90.63215,299.65,0.69,0.74,2025-01-07,0646,N20,VIIRS,n,2,272.14,1.4,N,0
28.9816,-82.05347,298.59,0.41,0.45,2025-01-07,0646,N20,VIIRS,n,2,277.29,0.52,N,0
26.55745,-80.49509,348.78,0.48,0.4,2025-01-07,0647,N20,VIIRS,n,2,297.84,5.28,N,0
26.55807,-80.4999,307.28,0.48,0.4,2025-01-07,0647,N20,VIIRS,n,2,287.9,1.51,N,0
26.5544,-80.5005,303.86,0.48,0.4,2025-01-07,0647,N20,VIIRS,n,2,287.71,1.51,N,0
26.55378,-80.49568,301.55,0.48,0.4,2025-01-07,0647,N20,VIIRS,n,2,288.13,5.28,N,0
25.86078,-80.34666,308.97,0.47,0.39,2025-01-07,0647,N20,VIIRS,n,2,289.15,0.95,N,2
47.42329,-94.83289,325.35,0.38,0.36,2025-01-07,0822,N20,VIIRS,n,2,251.52,2.02,N,0
41.57499,-110.91582,328.28,0.43,0.62,2025-01-07,0825,N20,VIIRS,n,2,261.36,3.59,N,0
39.49351,-94.3976,320.36,0.45,0.39,2025-01-07,0825,N20,VIIRS,n,2,253.18,7.01,N,0
38.07773,-97.22998,335.17,0.39,0.37,2025-01-07,0825,N20,VIIRS,n,2,260.61,5.25,N,0
35.08654,-95.90247,316.25,0.46,0.39,2025-01-07,0826,N20,VIIRS,n,2,267.24,1.72,N,0
34.38651,-96.56673,297.17,0.44,0.38,2025-01-07,0826,N20,VIIRS,n,2,266.71,0.95,N,0
34.34637,-111.08456,296.27,0.39,0.59,2025-01-07,0827,N20,VIIRS,n,2,275.01,1.54,N,0
34.34472,-111.05937,295.99,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,273.77,1.35,N,0
34.33937,-111.06145,320.12,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,277.14,1.35,N,0
34.33781,-111.03753,320.48,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,276.93,1.86,N,0
34.34062,-111.08056,299.47,0.39,0.59,2025-01-07,0827,N20,VIIRS,n,2,274.49,1.54,N,0
34.33968,-111.06621,299.37,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,274.92,1.35,N,0
34.33905,-111.05656,302.01,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,275.77,1.59,N,0
34.33873,-111.05162,297.21,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,276.03,1.59,N,0
34.33841,-111.04677,295.08,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,275.03,1.41,N,0
34.3381,-111.04206,307.35,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,275.02,1.41,N,0
34.33752,-111.03328,298.77,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,274.22,1.86,N,0
34.3368,-111.02235,306.87,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,273.84,1.33,N,0
34.33657,-111.01888,302.4,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,273.24,1.33,N,0
34.33279,-111.04464,320.05,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,276.94,2.61,N,0
34.3325,-111.0402,323.25,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,277.11,3.35,N,0
34.33143,-111.0239,324.9,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,274.96,2.66,N,0
34.33582,-111.091,296.29,0.39,0.59,2025-01-07,0827,N20,VIIRS,n,2,272.85,1.64,N,0
34.33521,-111.08175,297.92,0.39,0.59,2025-01-07,0827,N20,VIIRS,n,2,273.25,1.74,N,0
34.33491,-111.07711,303.29,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,275.42,1.23,N,0
34.33461,-111.07247,310.69,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,275.93,1.23,N,0
34.33401,-111.06323,302.58,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,274.91,1.74,N,0
34.33371,-111.05859,316.78,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,277.28,2.92,N,0
34.3334,-111.05395,314.74,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,276.44,2.92,N,0
34.3331,-111.04925,300.79,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,276.1,2.61,N,0
34.33222,-111.03589,298.98,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,274.06,3.35,N,0
34.33195,-111.03173,318.27,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,276.66,2.98,N,0
34.33169,-111.02774,306.44,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,275.42,2.98,N,0
34.32804,-111.05578,332.09,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,278.64,2.92,N,0
34.32774,-111.05117,328.4,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,277.76,2.61,N,0
34.32981,-111.08315,301.78,0.39,0.59,2025-01-07,0827,N20,VIIRS,n,2,272.27,1.74,N,0
34.32952,-111.07861,295.31,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,272.15,1.23,N,0
34.32923,-111.07404,300.52,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,273.83,1.23,N,0
34.32893,-111.06947,295.15,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,272.48,1.74,N,0
34.32864,-111.06493,299.15,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,273.27,1.74,N,0
34.32834,-111.06037,318.35,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,277.22,2.92,N,0
34.32744,-111.04656,310.24,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,274.43,2.61,N,0
34.32607,-111.02552,312.96,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,272.37,2.66,N,0
34.32295,-111.06184,312.23,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,274.13,1.75,N,0
34.31755,-111.06313,305.75,0.38,0.59,2025-01-07,0827,N20,VIIRS,n,2,271.27,1.75,N,0
31.6973,-93.5442,296.23,0.45,0.47,2025-01-07,0827,N20,VIIRS,n,2,265.93,0.73,N,0
32.97618,-102.74526,295.6,0.42,0.38,2025-01-07,0827,N20,VIIRS,n,2,264.49,0.57,N,2
30.48226,-91.18004,297.55,0.33,0.55,2025-01-07,0827,N20,VIIRS,n,2,281.89,1.29,N,2
33.4227,-110.86459,341.74,0.37,0.58,2025-01-07,0827,N20,VIIRS,n,2,274.6,5.2,N,2
33.42245,-110.86088,301.17,0.37,0.58,2025-01-07,0827,N20,VIIRS,n,2,274.16,4,N,2
30.32853,-91.24262,300.24,0.33,0.55,2025-01-07,0827,N20,VIIRS,n,2,277.46,0.71,N,2
31.35109,-96.17019,327.68,0.5,0.41,2025-01-07,0827,N20,VIIRS,n,2,268.7,3.68,N,2
30.06245,-90.59824,296.21,0.36,0.58,2025-01-07,0827,N20,VIIRS,n,2,279.3,1.44,N,2
29.99914,-90.40813,296.34,0.37,0.58,2025-01-07,0827,N20,VIIRS,n,2,274.98,1.14,N,2
29.99822,-90.4044,307.03,0.37,0.58,2025-01-07,0827,N20,VIIRS,n,2,277.77,1.14,N,2
