latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
19.41155,-155.27415,334.63,0.44,0.63,2025-01-07,0015,N21,VIIRS,n,2.0NRT,299.86,10.14,D
19.40461,-155.2861,335.78,0.44,0.63,2025-01-07,0015,N21,VIIRS,n,2.0NRT,296.06,7.05,D
37.5582,-76.76413,305.48,0.66,0.73,2025-01-07,0557,N21,VIIRS,n,2.0NRT,267.24,2.12,N
37.56083,-76.76658,313.64,0.66,0.73,2025-01-07,0557,N21,VIIRS,n,2.0NRT,267.5,3.05,N
38.51808,-77.82192,323.71,0.47,0.48,2025-01-07,0735,N21,VIIRS,n,2.0NRT,267.44,3.2,N
41.05222,-94.33584,322.69,0.53,0.5,2025-01-07,0735,N21,VIIRS,n,2.0NRT,258.52,4.08,N
46.51909,-84.37797,331.9,0.39,0.36,2025-01-07,0735,N21,VIIRS,n,2.0NRT,265.92,6.38,N
38.61957,-77.57446,322.46,0.49,0.48,2025-01-07,0735,N21,VIIRS,n,2.0NRT,267.05,4.5,N
38.61918,-77.57372,331.64,0.49,0.48,2025-01-07,0735,N21,VIIRS,n,2.0NRT,267.42,3.54,N
41.18028,-87.8556,325.97,0.42,0.38,2025-01-07,0735,N21,VIIRS,n,2.0NRT,266.74,4.24,N
35.34138,-80.82611,323.06,0.39,0.44,2025-01-07,0737,N21,VIIRS,n,2.0NRT,271.38,2.7,N
38.0757,-97.22816,328.74,0.36,0.57,2025-01-07,0737,N21,VIIRS,n,2.0NRT,254.59,3.21,N
39.493,-94.40126,334.77,0.51,0.5,2025-01-07,0737,N21,VIIRS,n,2.0NRT,253.87,6.6,N
33.48075,-84.38521,304.55,0.44,0.38,2025-01-07,0737,N21,VIIRS,n,2.0NRT,270.68,1.18,N
33.01305,-79.88556,332.47,0.49,0.48,2025-01-07,0737,N21,VIIRS,n,2.0NRT,278.32,24.06,N
33.48161,-84.38307,306.57,0.44,0.38,2025-01-07,0737,N21,VIIRS,n,2.0NRT,270.8,1.18,N
37.55592,-78.49448,295.12,0.46,0.47,2025-01-07,0737,N21,VIIRS,n,2.0NRT,267.35,0.94,N
35.50448,-80.32982,300.97,0.41,0.45,2025-01-07,0737,N21,VIIRS,n,2.0NRT,270.55,1.49,N
34.98599,-78.46272,303.02,0.53,0.5,2025-01-07,0737,N21,VIIRS,n,2.0NRT,271.59,1.4,N
37.87239,-78.5963,304.74,0.45,0.47,2025-01-07,0737,N21,VIIRS,n,2.0NRT,264.71,2.37,N
37.01112,-79.59557,295.74,0.42,0.45,2025-01-07,0737,N21,VIIRS,n,2.0NRT,268.16,0.57,N
36.76983,-80.22215,320.02,0.39,0.44,2025-01-07,0737,N21,VIIRS,n,2.0NRT,267.79,3.59,N
33.01283,-79.8848,349.2,0.49,0.48,2025-01-07,0737,N21,VIIRS,n,2.0NRT,277.4,25.03,N
28.70028,-96.53413,303.15,0.51,0.5,2025-01-07,0739,N21,VIIRS,n,2.0NRT,275.91,1.76,N
30.24049,-93.27705,295.33,0.53,0.42,2025-01-07,0739,N21,VIIRS,n,2.0NRT,279.26,1.86,N
29.72288,-95.25401,295.09,0.44,0.46,2025-01-07,0739,N21,VIIRS,n,2.0NRT,281.58,1.14,N
29.36949,-94.91072,295.22,0.42,0.45,2025-01-07,0739,N21,VIIRS,n,2.0NRT,279.88,1.4,N
29.73941,-95.16418,305.75,0.44,0.46,2025-01-07,0739,N21,VIIRS,n,2.0NRT,280.54,1.21,N
