latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,daynight
41.083673,-76.799052,5910,6547,2025-01-07,1551,L8,OLI,L,D
41.058455,-77.461301,4053,6595,2025-01-07,1551,L8,OLI,H,D
41.058717,-77.461667,4052,6594,2025-01-07,1551,L8,OLI,L,D
42.551411,-77.170571,3557,6321,2025-01-07,1551,L8,OLI,H,D
42.551411,-77.170571,5007,1091,2025-01-07,1551,L8,OLI,L,D
41.083668,-76.799409,5909,6547,2025-01-07,1551,L8,OLI,M,D
41.058725,-77.461311,4053,6594,2025-01-07,1551,L8,OLI,H,D
41.058725,-77.461311,5523,1354,2025-01-07,1552,L8,OLI,H,D
41.058455,-77.461301,5523,1355,2025-01-07,1552,L8,OLI,H,D
40.634168,-77.346679,5802,2934,2025-01-07,1552,L8,OLI,L,D
39.835919,-77.234432,6044,5896,2025-01-07,1552,L8,OLI,H,D
38.072198,-77.641087,6199,6852,2025-01-07,1552,L8,OLI,H,D
39.520797,-77.661983,5942,1494,2025-01-07,1552,L8,OLI,M,D
39.186335,-77.731702,5787,2739,2025-01-07,1552,L8,OLI,M,D
38.515858,-77.820753,5617,5229,2025-01-07,1552,L8,OLI,H,D
38.516128,-77.820741,5617,5228,2025-01-07,1552,L8,OLI,H,D
38.516398,-77.820729,5617,5227,2025-01-07,1552,L8,OLI,H,D
38.516668,-77.820717,5617,5226,2025-01-07,1552,L8,OLI,H,D
38.515868,-77.821097,5616,5229,2025-01-07,1552,L8,OLI,L,D
38.516138,-77.821085,5616,5228,2025-01-07,1552,L8,OLI,H,D
38.516408,-77.821073,5616,5227,2025-01-07,1552,L8,OLI,H,D
38.516678,-77.821061,5616,5226,2025-01-07,1552,L8,OLI,H,D
39.06821,-77.838392,5495,3187,2025-01-07,1552,L8,OLI,L,D
38.299805,-77.969807,5210,6043,2025-01-07,1552,L8,OLI,H,D
39.603304,-77.929456,5165,1216,2025-01-07,1552,L8,OLI,H,D
38.728093,-77.976282,5139,4459,2025-01-07,1552,L8,OLI,H,D
38.728363,-77.97627,5139,4458,2025-01-07,1552,L8,OLI,L,D
38.255935,-78.029904,5040,6211,2025-01-07,1552,L8,OLI,L,D
38.256205,-78.029893,5040,6210,2025-01-07,1552,L8,OLI,H,D
38.022569,-78.090611,4890,7080,2025-01-07,1552,L8,OLI,L,D
38.022307,-78.090963,4889,7081,2025-01-07,1552,L8,OLI,L,D
38.022577,-78.090952,4889,7080,2025-01-07,1552,L8,OLI,H,D
38.596684,-78.06963,4884,4954,2025-01-07,1552,L8,OLI,H,D
37.963686,-78.215168,4532,7309,2025-01-07,1552,L8,OLI,H,D
37.963957,-78.215157,4532,7308,2025-01-07,1552,L8,OLI,L,D
37.963695,-78.215509,4531,7309,2025-01-07,1552,L8,OLI,H,D
37.963965,-78.215499,4531,7308,2025-01-07,1552,L8,OLI,L,D
38.116673,-78.214838,4516,6743,2025-01-07,1552,L8,OLI,L,D
37.994708,-78.2239,4503,7195,2025-01-07,1552,L8,OLI,L,D
37.994446,-78.224251,4502,7196,2025-01-07,1552,L8,OLI,H,D
37.994716,-78.224241,4502,7195,2025-01-07,1552,L8,OLI,H,D
37.994454,-78.224593,4501,7196,2025-01-07,1552,L8,OLI,L,D
39.13415,-78.265394,4256,2983,2025-01-07,1552,L8,OLI,H,D
39.13442,-78.265383,4256,2982,2025-01-07,1552,L8,OLI,L,D
39.073487,-78.426196,3799,3221,2025-01-07,1552,L8,OLI,H,D
38.22015,-78.630972,3290,6394,2025-01-07,1552,L8,OLI,H,D
38.22042,-78.630963,3290,6393,2025-01-07,1552,L8,OLI,H,D
38.517017,-78.715542,3016,5302,2025-01-07,1552,L8,OLI,L,D
38.517287,-78.715533,3016,5301,2025-01-07,1552,L8,OLI,H,D
38.517557,-78.715525,3016,5300,2025-01-07,1552,L8,OLI,L,D
38.07911,-78.830471,2720,6930,2025-01-07,1552,L8,OLI,L,D
