latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.3278,-111.0522,315.7,2.6,1.6,2025-01-07,0401,Terra,MODIS,80,61.03,276.5,72.8,N,0
34.3338,-111.0241,307.1,2.6,1.5,2025-01-07,0401,Terra,MODIS,13,61.03,274.9,46.5,N,0
34.3353,-111.0587,315.7,2.6,1.6,2025-01-07,0401,Terra,MODIS,6,61.03,276.8,68.8,N,0
19.4116,-155.2911,319.3,2.5,1.5,2025-01-07,0714,Terra,MODIS,98,61.03,293.2,74.1,N,1
19.4116,-155.2737,324.5,2.5,1.5,2025-01-07,0714,Terra,MODIS,100,61.03,298.5,93.6,N,1
19.4075,-155.2958,321.2,2.5,1.5,2025-01-07,0714,Terra,MODIS,100,61.03,293,81.3,N,1
19.3984,-155.2886,312.9,2.5,1.5,2025-01-07,0714,Terra,MODIS,80,61.03,292.8,52.6,N,1
19.4156,-155.2689,308.5,2.5,1.5,2025-01-07,0714,Terra,MODIS,61,61.03,292.5,40.8,N,1
33.0122,-79.8793,309,1.3,1.1,2025-01-07,0823,Aqua,MODIS,76,61.03,275.3,20.4,N,2
19.4048,-155.284,320.9,1.9,1.4,2025-01-07,1323,Aqua,MODIS,100,61.03,294.4,56.9,N,1
19.4111,-155.2774,334.3,1.9,1.4,2025-01-07,1323,Aqua,MODIS,100,61.03,304.7,98.1,N,1
19.4167,-155.2819,318,1.9,1.4,2025-01-07,1323,Aqua,MODIS,95,61.03,296.3,49.4,N,1
19.4135,-155.2638,306,2,1.4,2025-01-07,1323,Aqua,MODIS,39,61.03,293.5,24.6,N,1
36.2913,-95.6896,315,1.4,1.2,2025-01-07,1601,Terra,MODIS,75,61.03,270.7,30.8,D,0
30.6215,-84.4485,301.2,2.5,1.5,2025-01-07,1602,Terra,MODIS,45,61.03,278.1,30.2,D,0
30.6263,-84.4527,302,2.5,1.5,2025-01-07,1602,Terra,MODIS,50,61.03,278.5,30.2,D,0
29.6057,-82.6511,306.5,3.5,1.8,2025-01-07,1602,Terra,MODIS,64,61.03,281.3,62.3,D,0
30.4023,-84.3622,302.4,2.6,1.5,2025-01-07,1602,Terra,MODIS,49,61.03,280.4,30.8,D,0
29.1619,-97.5033,313.2,1.5,1.2,2025-01-07,1603,Terra,MODIS,73,61.03,281,25.3,D,0
29.0805,-98.8142,300.9,1.8,1.3,2025-01-07,1603,Terra,MODIS,42,61.03,280.9,13.4,D,0
28.892,-97.0694,302.1,1.4,1.2,2025-01-07,1603,Terra,MODIS,50,61.03,281.8,11.2,D,0
30.3177,-94.1187,307.1,1,1,2025-01-07,1603,Terra,MODIS,65,61.03,278.2,11.9,D,0
28.4442,-99.8767,301,2.1,1.4,2025-01-07,1604,Terra,MODIS,43,61.03,280.9,16.9,D,0
46.7916,-109.1611,347.9,1.1,1.1,2025-01-07,1737,Terra,MODIS,71,61.03,269.4,74.8,D,0
34.3318,-111.0489,308.1,1.5,1.2,2025-01-07,1740,Terra,MODIS,37,61.03,277.8,17.4,D,0
36.1494,-121.0791,307.7,1.6,1.2,2025-01-07,1740,Terra,MODIS,66,61.03,285.8,17.5,D,0
35.2201,-120.5985,301.6,1.4,1.2,2025-01-07,1740,Terra,MODIS,48,61.03,287.5,8.9,D,0
32.9482,-113.3173,311,1.2,1.1,2025-01-07,1741,Terra,MODIS,71,61.03,288.8,12.4,D,0
32.9461,-113.3047,303,1.2,1.1,2025-01-07,1741,Terra,MODIS,54,61.03,289.4,5.6,D,0
26.1406,-81.5747,422.3,1.4,1.2,2025-01-07,1921,Aqua,MODIS,100,61.03,305.7,642.5,D,0
26.1529,-81.5638,342.3,1.3,1.2,2025-01-07,1921,Aqua,MODIS,93,61.03,292.3,68.4,D,0
26.1428,-81.5616,370.6,1.3,1.2,2025-01-07,1921,Aqua,MODIS,100,61.03,293,180.6,D,0
26.1506,-81.5769,369.3,1.4,1.2,2025-01-07,1921,Aqua,MODIS,100,61.03,296.6,172.4,D,0
26.5564,-80.8856,307.8,1.2,1.1,2025-01-07,1921,Aqua,MODIS,66,61.03,290.9,9.2,D,0
26.5544,-80.8974,347.6,1.2,1.1,2025-01-07,1921,Aqua,MODIS,95,61.03,293.3,75.4,D,0
26.5584,-80.8915,362.6,1.2,1.1,2025-01-07,1921,Aqua,MODIS,100,61.03,294.8,122.4,D,0
26.5564,-80.9033,343.5,1.2,1.1,2025-01-07,1921,Aqua,MODIS,93,61.03,293.3,63.8,D,0
26.4805,-81.9285,303.4,1.4,1.2,2025-01-07,1921,Aqua,MODIS,42,61.03,287.7,9.3,D,2
