latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.51529,-77.82399,320.39,0.34,0.56,2025-01-07,0621,N,VIIRS,n,2,267.02,2.98,N,0
38.51505,-77.82008,319.11,0.33,0.56,2025-01-07,0621,N,VIIRS,n,2,265.55,1.73,N,0
37.56005,-78.49713,295.57,0.36,0.57,2025-01-07,0621,N,VIIRS,n,2,264.13,0.46,N,0
37.01107,-79.59977,299.72,0.41,0.6,2025-01-07,0621,N,VIIRS,n,2,268.27,0.63,N,0
33.01382,-79.88662,303.18,0.39,0.59,2025-01-07,0622,N,VIIRS,n,2,274.8,1.12,N,2
33.00217,-79.87917,296.56,0.39,0.59,2025-01-07,0622,N,VIIRS,n,2,275.52,1.5,N,2
25.86033,-80.34547,304.04,0.35,0.57,2025-01-07,0624,N,VIIRS,n,2,287.38,0.59,N,2
41.48108,-90.83185,331.46,0.39,0.36,2025-01-07,0801,N,VIIRS,n,2,258.1,7.55,N,2
38.51801,-77.81861,314.26,0.49,0.65,2025-01-07,0801,N,VIIRS,n,2,266.66,1.37,N,0
38.51635,-77.81939,319.88,0.49,0.65,2025-01-07,0801,N,VIIRS,n,2,266.21,2.09,N,0
37.87651,-78.59908,305.44,0.47,0.64,2025-01-07,0801,N,VIIRS,n,2,264.75,1.17,N,0
41.05481,-94.33508,327.72,0.42,0.38,2025-01-07,0801,N,VIIRS,n,2,260.96,3.73,N,0
39.49545,-94.39916,326.18,0.41,0.37,2025-01-07,0802,N,VIIRS,n,2,251.52,4.12,N,0
39.49205,-94.39994,327.53,0.41,0.37,2025-01-07,0802,N,VIIRS,n,2,251.25,4.12,N,0
38.58627,-93.3725,323.25,0.39,0.36,2025-01-07,0802,N,VIIRS,n,2,254.09,1.9,N,0
35.50539,-80.32906,301.45,0.44,0.63,2025-01-07,0802,N,VIIRS,n,2,270.44,1.14,N,2
35.50572,-80.33011,299.53,0.44,0.63,2025-01-07,0802,N,VIIRS,n,2,270.31,1.09,N,2
38.08048,-97.23159,324.76,0.49,0.41,2025-01-07,0802,N,VIIRS,n,2,257.64,7.27,N,0
33.01451,-79.88799,309.91,0.54,0.68,2025-01-07,0803,N,VIIRS,n,2,274.58,3.15,N,2
33.01294,-79.88233,314.17,0.54,0.68,2025-01-07,0803,N,VIIRS,n,2,274.48,2.37,N,2
33.00531,-79.87905,295.68,0.54,0.68,2025-01-07,0803,N,VIIRS,n,2,275.15,0.91,N,2
35.4107,-93.77431,296.42,0.39,0.36,2025-01-07,0803,N,VIIRS,n,2,265.8,0.5,N,2
34.38805,-96.56647,300.27,0.43,0.38,2025-01-07,0803,N,VIIRS,n,2,267.07,0.85,N,0
34.38099,-97.53399,295.25,0.47,0.39,2025-01-07,0803,N,VIIRS,n,2,264.79,0.62,N,0
30.40527,-83.79414,298.49,0.38,0.59,2025-01-07,0804,N,VIIRS,n,2,272.65,0.55,N,0
30.34396,-88.48681,298.51,0.41,0.45,2025-01-07,0804,N,VIIRS,n,2,280.1,1.64,N,2
30.58413,-91.24255,302.16,0.45,0.39,2025-01-07,0804,N,VIIRS,n,2,272.63,1.4,N,2
30.48301,-91.17889,296.46,0.46,0.39,2025-01-07,0804,N,VIIRS,n,2,280.3,1.18,N,2
30.32826,-91.241,296.74,0.46,0.39,2025-01-07,0804,N,VIIRS,n,2,277.85,1.67,N,2
30.32812,-91.28039,300.59,0.46,0.39,2025-01-07,0804,N,VIIRS,n,2,273.05,1.07,N,2
30.18737,-90.98875,300.3,0.47,0.4,2025-01-07,0804,N,VIIRS,n,2,273.96,1.35,N,2
30.00245,-90.40237,332.28,0.5,0.41,2025-01-07,0804,N,VIIRS,n,2,279.74,2.72,N,2
30.00345,-90.40752,296.51,0.5,0.41,2025-01-07,0804,N,VIIRS,n,2,273.79,1.63,N,2
30.00144,-90.39721,296.25,0.5,0.41,2025-01-07,0804,N,VIIRS,n,2,276.64,2.72,N,2
30.00229,-90.40408,338.8,0.5,0.41,2025-01-07,0804,N,VIIRS,n,2,284.51,15.14,N,2
30.00131,-90.3989,299.86,0.5,0.41,2025-01-07,0804,N,VIIRS,n,2,279.35,2.63,N,2
29.99858,-90.40503,340.81,0.5,0.41,2025-01-07,0804,N,VIIRS,n,2,279.16,13.56,N,2
29.9976,-90.39986,298.88,0.5,0.41,2025-01-07,0804,N,VIIRS,n,2,279,1.36,N,2
29.99661,-90.39469,299.53,0.5,0.41,2025-01-07,0804,N,VIIRS,n,2,280.57,1.36,N,2
29.99486,-90.40597,299.41,0.5,0.41,2025-01-07,0804,N,VIIRS,n,2,274.47,13.56,N,2
30.26201,-93.28835,305.24,0.4,0.37,2025-01-07,0804,N,VIIRS,n,2,274.53,0.79,N,2
30.25393,-93.28163,327.67,0.4,0.37,2025-01-07,0804,N,VIIRS,n,2,277.09,8.54,N,0
30.25323,-93.27753,303.44,0.4,0.37,2025-01-07,0804,N,VIIRS,n,2,274.78,3.8,N,0
29.76803,-90.62737,308.77,0.49,0.41,2025-01-07,0804,N,VIIRS,n,2,272.48,1.2,N,0
30.24249,-93.27568,304.13,0.4,0.37,2025-01-07,0804,N,VIIRS,n,2,283.21,1.34,N,2
29.76434,-90.62829,303.18,0.49,0.41,2025-01-07,0804,N,VIIRS,n,2,272.7,1.2,N,0
30.50441,-94.99281,295.36,0.38,0.36,2025-01-07,0804,N,VIIRS,n,2,271.91,0.61,N,0
30.34266,-94.06325,296.47,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,276.69,0.83,N,2
30.18079,-93.32691,296.56,0.4,0.37,2025-01-07,0804,N,VIIRS,n,2,278.84,1.16,N,2
30.04524,-93.33453,302.06,0.4,0.37,2025-01-07,0804,N,VIIRS,n,2,273.35,0.71,N,2
30.04189,-93.33527,311.41,0.4,0.37,2025-01-07,0804,N,VIIRS,n,2,274.2,0.71,N,2
30.06619,-93.52042,326.37,0.39,0.37,2025-01-07,0804,N,VIIRS,n,2,272.93,1.11,N,0
30.04105,-93.75115,296.01,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,272.87,0.34,N,0
30.07464,-94.0599,297.29,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,278.26,1.01,N,2
30.03361,-94.03979,309.68,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,272.96,0.54,N,2
30.0303,-94.0405,295.55,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,272,0.54,N,2
30.01246,-93.99464,296.39,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,282.93,0.81,N,0
30.00915,-93.99535,309.83,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,273.57,0.81,N,0
29.97998,-93.88126,300.8,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,275.67,0.55,N,3
30.16748,-95.17691,297.03,0.38,0.36,2025-01-07,0804,N,VIIRS,n,2,272.58,0.76,N,0
29.88791,-93.96233,298.84,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,278.9,1.13,N,2
29.86457,-93.97842,295.39,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,275.69,0.47,N,2
29.86126,-93.97914,308.33,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,277.71,0.8,N,0
29.83474,-93.96416,319.49,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,280.42,2.12,N,2
29.75903,-93.8809,299.91,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,276.1,0.86,N,2
29.75837,-93.87688,301.95,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,275.65,0.83,N,2
29.7577,-93.87286,301.1,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,273.44,0.83,N,2
29.75682,-93.88086,306.37,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,276.01,1.33,N,2
29.75616,-93.87685,305.01,0.39,0.36,2025-01-07,0804,N,VIIRS,n,2,275.91,0.94,N,2
29.87846,-94.91145,312.1,0.38,0.36,2025-01-07,0804,N,VIIRS,n,2,272.68,0.69,N,2
29.87372,-94.92468,305.15,0.38,0.36,2025-01-07,0804,N,VIIRS,n,2,274.5,0.94,N,2
29.76004,-95.02036,300.83,0.38,0.36,2025-01-07,0804,N,VIIRS,n,2,274.4,0.64,N,2
29.74641,-94.99869,304.27,0.38,0.36,2025-01-07,0804,N,VIIRS,n,2,280.41,0.97,N,2
29.74559,-95.01517,297.44,0.38,0.36,2025-01-07,0804,N,VIIRS,n,2,280.39,0.95,N,2
29.74311,-94.99937,298.19,0.38,0.36,2025-01-07,0804,N,VIIRS,n,2,279.15,0.97,N,2
29.73834,-95.16241,314.88,0.38,0.36,2025-01-07,0804,N,VIIRS,n,2,278.54,1.34,N,3
29.72599,-95.08335,295.36,0.38,0.36,2025-01-07,0804,N,VIIRS,n,2,274.95,0.54,N,0
29.72495,-95.12028,298.55,0.38,0.36,2025-01-07,0804,N,VIIRS,n,2,281.2,0.76,N,2
29.72713,-95.22182,298.37,0.38,0.36,2025-01-07,0804,N,VIIRS,n,2,278.72,0.98,N,2
29.71515,-95.23243,301.51,0.38,0.36,2025-01-07,0804,N,VIIRS,n,2,280.73,1.25,N,2
26.55516,-80.49864,297.34,0.72,0.76,2025-01-07,0804,N,VIIRS,n,2,285.27,1.15,N,0
26.55318,-80.49142,299.74,0.72,0.76,2025-01-07,0804,N,VIIRS,n,2,284.72,1.15,N,0
